都道府県名,特殊作業員,普通作業員,軽作業員,造園工,法面工,とび工,石工,ブロック工,電工,鉄筋工,鉄骨工,塗装工,溶接工,運転手（特殊）,運転手（一般）,潜かん工,潜かん世話役,さく岩工,トンネル特殊工,トンネル作業員,トンネル世話役,橋りょう特殊工,橋りょう塗装工,橋りょう世話役,土木一般世話役,高級船員,普通船員,潜水士,潜水連絡員,潜水送気員,山林砂防工,軌道工,型わく工,大工,左官,配管工,はつり工,防水工,板金工,タイル工,サッシ工,内装工,ガラス工,建具工,ダクト工,保温工,設備機械工,交通誘導警備員A,交通誘導警備員B
岐阜県,19600,17500,13000,18600,22600,21700,,24400,19300,20900,20700,21200,23200,20400,17600,27100,32100,23500,26100,21700,28000,25200,27300,28300,21900,25100,20200,32000,20900,20500,25200,32800,22400,22600,20300,18900,21500,20700,20600,,21600,21100,20600,19200,18100,21500,22200,11500,10300
静岡県,19400,18400,11800,18600,22200,21100,25000,25500,20400,21400,22500,22500,25000,19900,17300,27100,32000,23400,27300,21400,28000,25900,27300,28500,22100,25100,20200,36400,22700,23300,25200,35100,21100,,21500,19300,21400,22800,21500,,21400,26400,20600,19200,19800,21400,22200,11900,10100
愛知県,20400,17500,13400,18800,23400,22500,,25500,19400,20900,21100,22100,24400,20100,18100,27100,32100,23500,26800,21500,28000,25100,27300,27900,21900,25100,20200,34300,22200,20800,25200,33400,22700,,20900,19500,21500,22400,20900,,21400,,20600,19200,18700,21500,22200,12200,10500
三重県,19500,16900,12600,18800,23000,23000,26100,23200,19300,21100,21900,21500,24000,18900,17400,27100,32100,23500,25100,21500,28100,25100,27300,28900,21000,24900,20000,34300,21600,20700,25000,34400,21100,,20400,19800,21500,22200,22300,,21700,,20600,19200,18800,21500,22100,11600,10000
福井県,18400,15200,11400,18100,21100,19800,,,18500,19200,19600,21300,21100,17700,17300,26600,31500,21300,24800,19600,27300,25100,26300,29200,20200,23400,19100,29100,21100,21000,21300,31800,19600,18700,18600,17900,20700,20400,20100,,19400,20700,19900,18600,17800,21300,21200,11500,9900
滋賀県,17800,16000,12100,18300,22200,21100,,,18900,20400,19400,20700,22300,18000,16000,26500,31400,21200,26200,19400,27200,24900,26200,28900,20400,23400,19100,29500,,20900,21300,32000,19300,,19300,18300,20600,21100,,,20800,21200,19800,18600,17800,21200,21200,11000,9000
京都府,18200,16700,11900,18800,21500,20800,,,18500,20400,19600,21200,22100,17900,15800,26500,31400,21200,24400,19400,27200,24900,26200,28900,20500,23400,19100,29100,,20700,21300,32500,20900,,20400,18600,20600,21100,,,21100,21300,19800,18600,17600,21200,21200,11100,9000
大阪府,19100,16400,11800,18800,22300,22200,,,19600,20500,19900,21900,21800,19200,16000,26500,31300,21200,24100,20000,27200,25200,26200,29500,21500,23400,19100,29900,,21100,21300,33100,22100,,20500,19500,20500,21200,,,,21300,19800,18600,17600,21200,21200,10900,9200
兵庫県,17500,16600,11200,18300,21100,21100,,,19000,19600,18800,20000,21500,17900,16000,26500,31400,21200,23300,20400,27200,25200,26200,29100,20300,24000,19100,30700,22300,21500,21300,31600,20700,19400,19600,17700,20600,20400,19400,,,21300,19800,18600,17500,21200,21200,11200,9200
奈良県,19500,16800,12500,19700,22100,21600,,,18900,20900,19900,21700,23000,18600,16400,26500,31400,21200,23900,20300,27200,24900,26200,28800,21600,24500,19100,29200,,21000,21300,34200,21900,,21000,19500,20600,21100,,,21100,21400,19800,18600,18200,21200,21200,11300,9300
和歌山県,18900,16600,11800,18500,21400,21400,,,18500,20100,19500,21200,21900,17400,15100,26500,31400,21200,22800,19400,27200,24900,26200,28800,20300,23400,19100,29100,,20600,21300,32900,22100,,20600,18300,20600,20900,,,20900,21300,19800,18600,17500,21200,21200,10700,9000
鳥取県,16100,12700,11400,16900,19200,18900,,,16500,18800,18000,18700,19700,15000,13100,26900,31900,22000,27400,20800,27000,22900,23800,26300,18700,23400,18700,32400,25400,23500,,28800,18500,18800,18000,16400,18700,20200,19200,,,19400,18200,15600,16700,18700,18900,11000,8800
島根県,16300,13900,11000,16400,18500,18800,,,16400,18100,17500,17300,18200,16300,13300,26900,31900,22000,26900,20400,27000,22900,23800,26100,18100,23400,17900,32500,26800,23700,,24100,17900,19000,17400,16700,18700,19200,18800,,,18900,18200,15600,17300,18700,18900,11000,9400
岡山県,17200,15300,11700,17100,19700,19600,,,17600,19200,18300,18600,19800,17500,15100,27000,31900,22000,25400,21000,27100,23100,23800,26200,19400,23500,18700,32400,25500,23600,,27500,19100,18800,18300,17100,18700,20500,19100,,,19800,18200,15600,16700,18700,18900,11400,9500
広島県,17500,15500,11500,16400,19900,19500,,,16600,19100,18200,17700,18300,17900,15100,27000,31900,22000,26300,20200,27100,23100,23800,26300,18800,23500,18300,32900,27100,23900,,24200,18700,19000,18000,17000,18700,19800,18700,,,19000,18200,15600,17200,18700,18900,11400,9700
山口県,16300,14500,11100,16600,19300,19400,,,16900,18600,17800,17000,18600,16300,14400,27100,32000,22100,25900,20400,27200,23100,23900,26200,19300,23400,17900,32900,27100,24000,,24300,17900,19100,17800,17100,18800,19500,18800,,,19100,18200,15600,17200,18800,18900,11200,9300
徳島県,17000,15500,11900,16400,23300,19100,,,17800,18100,18200,17800,20800,15900,15100,27000,32000,20400,25500,20800,26600,23100,24000,25500,19000,29100,19800,35300,,18100,19500,,18700,,19300,16800,18300,19100,,,,,17700,,,19900,17600,10800,9600
